sequence_length,operations_number_mean,timers_mean,operations_number_std,timers_std,worst_case
2,169.0,9.989738464355469e-05,1.4142135623730951,2.3602235166100658e-06,556
3,159.6,6.742477416992188e-05,12.501999840025595,1.3611174480960324e-05,1251
4,173.57142857142858,7.111685616629464e-05,4.995235825502228,1.3436118659902758e-05,2224
5,190.4,0.0022028446197509765,21.808255317654368,0.006718140449740954,3475
6,154.5,7.504766637628728e-05,58.803749475530495,2.404680401116962e-05,5004
7,198.91489361702128,8.38218851292387e-05,51.401162982628115,1.5210587416868201e-05,6811
8,263.5,0.00010309332893008278,56.47285123693745,1.567445414570446e-05,8896
9,296.7608695652174,0.00011925075365149456,94.80955994521244,2.941300326545649e-05,11259
10,383.22222222222223,0.00014215928536874276,97.84105372936145,2.5706343196791967e-05,13900
11,328.7142857142857,0.00013106209891183035,148.3865608084891,4.093532311763408e-05,16819
12,287.25,0.00012308359146118164,148.82960055042813,4.1001237545277234e-05,20016
14,319.3333333333333,0.00013947486877441406,132.19808369765929,3.613516534695284e-05,27244
15,240.75,0.00012242794036865234,179.40712546235912,4.8734880427278586e-05,31275
16,209.0,0.00011563301086425781,25.45584412271571,7.080670549830197e-06,35584
17,253.0,0.0001322031021118164,87.68124086713189,2.174777383162132e-05,40171
20,191.0,0.0001246929168701172,0.0,0.0,55600
